date,open,high,low,close,volume,atr,rsi,sma,ema_20,ema_9,bb_h,bb_l,vwap,obv,ad_line,adx,aroon,macd,macd_diff,macd_signal
2024-07-31 14:00:00+05:30,12975.8,12984.0,12965.0,12970.05,6466,42.811713486877935,56.10347950321283,12969.11,12955.553085288526,12970.023911551358,13018.018921476394,12920.201078523607,12975.361091933986,381323,314364.863546257,22.32220756448453,8.0,24.07678965645573,-5.790235849097826,29.867025505553556
2024-07-31 14:15:00+05:30,12970.1,12982.9,12967.0,12970.0,5349,40.8894482378152,56.09158768730879,12969.005000000001,12956.928981927715,12970.019129241087,13017.896808107127,12920.113191892875,12975.987750327931,375974,311034.3541122948,21.643644051178896,8.0,22.492656255762995,-5.89949539983245,28.392151655595445
2024-07-31 14:30:00+05:30,12970.0,12985.0,12947.2,12969.0,19968,40.668773363685496,55.83667432400185,12972.1375,12958.078602696503,12969.81530339287,13011.710582707621,12932.56441729238,12969.831154793044,356006,314098.22712816746,19.792588956983767,8.0,20.915427451735013,-5.981379363088347,26.89680681482336
2024-07-31 14:45:00+05:30,12969.0,12977.95,12961.0,12974.5,7076,38.97457526627944,56.99430029365992,12973.192500000001,12959.642545296836,12970.752242714298,13011.825054600806,12934.559945399196,12963.804385174855,363082,318293.73155294574,18.109811598624557,8.0,19.880100867932924,-5.61336475751235,25.493465625445275
2024-07-31 15:00:00+05:30,12974.6,12974.6,12921.4,12950.15,61400,39.990677032973814,50.66267031008899,12973.447499999998,12958.738493363804,12966.631794171439,13011.3949040612,12935.500095938796,12958.550534099062,301682,323256.5135078321,18.394825150803097,8.0,16.899943563041234,-6.874817649923234,23.774761212964467
2024-07-31 15:15:00+05:30,12948.5,13375.0,12920.65,13370.0,255700,69.58777153061857,83.8916007159953,12993.1775,12997.906255900585,13047.305435337152,13170.188597039096,12816.166402960904,13097.390006972993,557382,573328.6935452481,22.640494687757567,100.0,47.86477822658162,19.27201361089372,28.5927646156879
2024-08-01 09:15:00+05:30,13393.0,13680.0,13375.0,13522.1,448762,86.76007356414581,87.24350632278693,13020.0325,13047.82946962434,13142.264348269722,13310.526204363769,12729.53879563623,13319.889303233524,1006144,557438.1046927902,27.685966868601998,96.0,83.71284209999249,44.09606198744366,39.616780112548824
2024-08-01 09:30:00+05:30,13524.85,13540.0,13431.9,13515.9,146720,88.2843540238497,86.45379094619442,13046.515,13092.407615374403,13216.991478615779,13407.804309418345,12685.225690581654,13348.597415256425,859424,638738.0861914018,32.27275976027875,96.0,110.35035263215286,56.58685801568323,53.763494616469636
2024-08-01 09:45:00+05:30,13515.4,13629.95,13515.1,13580.0,158440,90.18190016500331,87.69402728998149,13074.74,13138.844985338745,13289.593182892624,13503.776391929618,12645.703608070382,13385.135653828249,1017864,659362.1871927063,36.67639969918657,92.0,135.07603350342106,65.05003110956113,70.02600239385993
2024-08-01 10:00:00+05:30,13577.7,13577.7,13467.05,13498.8,75287,91.80819301036027,77.95703799020066,13099.605,13173.126415306484,13331.4345463141,13564.891696457125,12634.318303542874,13399.917464434793,942577,627281.0118650962,39.6172816580254,56.0,146.431184801384,61.12414592601925,85.30703887536475
2024-08-01 10:15:00+05:30,13493.75,13505.7,13395.0,13397.6,72306,93.15760779533458,67.84615500207133,13119.877499999999,13194.504851943962,13344.667637051281,13599.771969102305,12639.983030897693,13404.609937669065,870271,558371.4996699747,40.80972660259391,56.0,145.5860049373805,48.22317284961258,97.36283208776791
2024-08-01 10:30:00+05:30,13395.0,13448.0,13341.05,13359.15,71893,94.14277866709645,64.42712417864092,13139.257500000002,13210.185342235014,13347.564109641025,13624.897716904434,12653.61728309557,13407.760551020152,798378,510812.54922584223,40.872513594142795,56.0,140.19749074264837,34.26772692390436,105.92976381874401
2024-08-01 10:45:00+05:30,13359.15,13359.2,13250.1,13260.05,73280,95.21115161944672,56.52122398078353,13154.01,13214.93435726025,13330.06128771282,13635.48783500384,12672.53216499616,13404.308290791061,725098,450898.92869421834,39.38565327586013,56.0,126.47261505455208,16.43428098864645,110.03833406590563
2024-08-01 11:00:00+05:30,13264.95,13299.0,13215.2,13260.3,59429,94.39606936091477,56.53571390685199,13169.7225,13219.254894664036,13316.109030170257,13643.477094146574,12695.967905853426,13401.013823073037,784527,455437.65900447936,37.488136455973184,56.0,114.29816697920978,3.4078663306433157,110.89030064856647
2024-08-01 11:15:00+05:30,13259.55,13259.75,13180.0,13223.0,62240,93.38920726370652,53.662215470177216,13183.627499999999,13219.611571362699,13297.487224136206,13646.36790938196,12720.887090618038,13395.452128965313,722287,460315.4019511878,35.216019953974175,56.0,100.48173994606077,-8.326848562004557,108.80858850806533
2024-08-01 11:30:00+05:30,13223.0,13243.0,13133.75,13138.0,44638,94.52212103058464,47.711052309916546,13193.235,13211.839040756728,13265.589779308966,13643.64394318384,12742.82605681616,13390.484708868853,677649,419150.38135622215,32.45120164687351,56.0,81.73118611728569,-21.66192191262371,103.3931080299094
2024-08-01 11:45:00+05:30,13138.0,13191.45,13112.0,13172.55,60190,93.44554095697151,50.131912882740714,13204.117499999998,13208.097227351325,13246.981823447173,13641.289503077716,12766.94549692228,13387.042583705248,737839,450703.7293738414,29.61225141697181,56.0,68.86529709340357,-27.622248749204672,96.48754584260824
2024-08-01 12:00:00+05:30,13179.3,13206.3,13147.2,13171.05,37370,90.99228803147344,50.02362921367443,13212.727499999999,13204.568919984533,13231.795458757739,13640.061765505334,12785.393234494664,13383.978801189442,700469,443495.3029779012,27.25601562987689,56.00000000000001,57.88073678018009,-30.88544724994253,88.76618403012262
2024-08-01 12:15:00+05:30,13171.05,13238.0,13162.0,13206.0,38833,89.92141031493962,52.593027961356576,13224.2,13204.70521331934,13226.636367006191,13637.650348893292,12810.74965110671,13396.226299316091,739302,449626.8292936907,25.59971721626886,48.0,51.403024434719555,-29.89052767632245,81.293552111042
2024-08-01 12:30:00+05:30,13206.0,13260.0,13205.6,13233.8,48716,87.38416672101535,54.592770551332556,13237.1,13207.476145384164,13228.069093604954,13634.533605775838,12839.666394224163,13422.429113606713,788018,451417.85870545375,24.430000236170358,48.0,47.9597680451443,-26.66702725271817,74.62679529786247
2024-08-01 12:45:00+05:30,13233.8,13329.0,13219.85,13239.7,76948,88.93886909808566,55.026363077482486,13250.5825,13210.545083919005,13230.395274883964,13628.689060740468,12872.475939259533,13365.30749773456,864966,402457.3584764117,24.34201488590194,4.0,45.18616525507605,-23.552504034229145,68.7386692893052
2024-08-01 13:00:00+05:30,13236.85,13270.55,13192.65,13221.45,36430,88.15037844822237,53.329980705698155,13263.154999999999,13211.58364735529,13228.606219907171,13619.184118050733,12907.125881949265,13338.932343176859,828536,392964.0465380303,23.693937164970475,4.0,41.04233212604777,-22.157069730605947,63.199401856653715
2024-08-01 13:15:00+05:30,13224.6,13224.6,13170.0,13181.2,27819,85.75392284477793,49.691479148994745,13273.765,13208.689966654787,13219.124975925737,13605.946179629405,12941.583820370593,13286.098532152419,800717,376557.9696149541,22.632636276053326,4.0,34.117194123236914,-23.265766186733444,57.38296030997036
2024-08-01 13:30:00+05:30,13181.2,13197.55,13155.05,13190.0,19423,82.66435692729378,50.48685630020428,13284.539999999999,13206.909969830522,13213.29998074059,13590.107243990553,12978.972756009445,13259.72370145462,820140,389080.0919678959,21.350420643238053,3.9999999999999964,29.004710569770396,-22.702599792159972,51.70731036193037
2024-08-01 13:45:00+05:30,13190.0,13215.0,13170.0,13213.0,22775,79.97404571820137,52.596326561237014,13297.6825,13207.489972703805,13213.239984592474,13564.779297575304,13030.585702424698,13239.30052197307,842915,409830.6475234515,20.50473433812253,4.0000000000000036,26.503423334777835,-20.16310962172203,46.666532956499864
2024-08-01 14:00:00+05:30,13213.0,13244.05,13194.2,13228.0,25218,77.82232816690116,53.97356258095652,13290.5825,13209.443308636775,13216.19198767398,13557.161241228521,13024.00375877148,13222.332504512016,868133,418809.9755074036,20.26222856949397,4.0,25.43827324087033,-16.982607772503627,42.42088101337396
2024-08-01 14:15:00+05:30,13228.0,13259.95,13216.95,13253.85,28002,75.3350190121225,56.32834094823444,13277.170000000002,13213.672517338035,13223.723590139185,13521.903384318495,13032.436615681509,13214.9387939298,896135,438867.22201903106,20.32649487156377,4.0,26.375967346886682,-12.835930933189822,39.211898280076504
2024-08-01 14:30:00+05:30,13253.9,13357.9,13227.0,13355.2,75052,79.3039462255423,64.08634749888563,13269.135,13227.151325210603,13250.018872111348,13491.520966508644,13046.749033491356,13222.920550790135,971187,510823.1120113929,21.859810569260866,4.0,34.89494743169416,-3.453560678705877,38.34850811040004
2024-08-01 14:45:00+05:30,13350.0,13388.0,13290.0,13363.7,119192,80.63937863800356,64.65347027475059,13258.320000000002,13240.15596090483,13272.75509768908,13435.657980703472,13080.98201929653,13245.538890503569,1090379,570905.6099705783,23.624235054465064,4.0,41.84976148752139,2.8010027016970795,39.04875878582431
2024-08-01 15:00:00+05:30,13363.7,13386.85,13325.3,13371.5,99595,79.27585159243196,65.19659504252434,13251.955000000002,13252.664917009133,13292.504078151265,13401.228316101657,13102.681683898347,13266.252868557116,1189974,620824.4686220809,25.228257313741608,4.0,47.44399174222781,6.716186365122795,40.727805377105014
2024-08-01 15:15:00+05:30,13374.9,13377.0,13300.0,13343.05,93588,79.1132907644011,61.48553376691563,13249.227499999999,13261.27302015112,13302.613262521012,13389.47703645194,13108.977963548057,13284.116308481573,1096386,631884.8686220791,25.89137976302154,4.0,49.01674773389641,6.631153885433115,42.385593848463294
2024-08-02 09:15:00+05:30,13126.0,13174.9,12830.2,12970.0,146102,110.09448428122948,34.08685569739784,13229.769999999999,13233.53273251768,13236.09061001681,13406.780065815436,13052.759934184562,13239.066010118617,950284,604292.0627038892,27.308530591290346,-100.0,19.931394191940853,-17.963359725217956,37.89475391715881
2024-08-02 09:30:00+05:30,12969.8,13015.9,12903.55,12924.65,96160,110.25559254685598,32.207910378462486,13213.0,13204.115329420758,13173.802488013449,13433.55361933096,12992.44638066904,13210.05427504317,854124,544250.9056055363,28.596849526080167,-92.0,-6.70107817502867,-35.67666567374998,28.975587498721314
2024-08-02 09:45:00+05:30,12919.75,12955.6,12887.05,12945.25,36385,107.27662165065206,33.98793149096794,13197.247500000001,13179.461488523542,13128.09199041076,13445.323876293647,12949.171123706356,13197.4922922328,890509,569648.7502444858,29.89137014851276,-92.0,-25.84730492208473,-43.858313936644834,18.011009014560106
2024-08-02 10:00:00+05:30,12945.25,12955.0,12934.0,12950.0,58689,101.11400581846263,34.41555155655644,13183.5975,13157.608013426063,13092.473592328608,13453.579398420961,12913.615601579038,13175.139575753123,949198,600390.607387343,31.068207077996934,-88.0,-40.17443636297139,-46.5483563020252,6.373919939053806
2024-08-02 10:15:00+05:30,12947.15,12949.95,12807.75,12829.5,71928,104.05229111714388,29.240672427723013,13168.1725,13126.35963119501,13039.878873862886,13478.977397765444,12857.367602234557,13148.584964276191,877270,550465.8985265833,33.05628021638973,-100.0,-60.554104171496874,-53.54241928844054,-7.011684883056329
